"가겨","가격"
"겔럭시","갤럭시"
"갤럭씨","갤럭시"
"나오지가","나오지"
"네크워크","네트워크"
"넥플릭스","넷플릭스"
"넷넥릭스","넷플릭스"
"넷플릿스","넷플릭스"
"넷풀릭스","넷플릭스"
"네슈 릭스","넷플릭스"
"네플릭스","넷플릭스"
"넷플럭스","넷플릭스"
"넥플리스","넷플릭스"
"넷플리스","넷플릭스"
"넷플렉스","넷플릭스"
"업데이트좀","업데이트 좀"
"냇플","넷플"
"넷.플","넷플"
"넷프렉스","넷플릭스"
"넷픈","넷플"
"다른어플들","다른 어플들"
"됬","됐"
"로딩시간","로딩 시간"
"로딩화면","로딩 화면"
"맴버","멤버"
"뭔갸","뭔가"
"블루트스","블루투스"
"무한로딩","무한 로딩"
"멧플릭스","넷플릭스"
"미치것슈","미치겠습니다"
"버젼","버전"
"볼려","보려"
"시르즈","시리즈"
"솽놤좌","상남자"
"어플내","어플 내"
"어플접속","어플 접속"
"엡","앱"
"업테이트","업데이트"
"연결햐야돼나","연결해야 되나"
"애니매이션","애니메이션"
"애니머이션","애니메이션"
"유투브","유튜브"
"유료어플","유료 어플"
"왔챠","왓차"
"왓챠","왓차"
"없애줘","없애 줘"
"잽속","접속"
"플렛폼","플랫폼"
"최곤데","최고인데"
"없애주시던가","없애 주시던가"
"없에","없애 "
"난린데","난리인데"
"유튭","유튜브"
"이돈없으면","이 돈 없으면"
"한국어으로","한국어로"
"떳으면하네요","떴으면 하네요"
"인터으로만되고","인터넷으로만 되고"
"많이불편합니다","많이 불편합니다"
"어플호환이안되네","어플 호환이 안되네"
"실행이잘됫엇습니","실행이 잘 됐었습니"
"업뎃않해주시나","업뎃 안해 주시나"
"막상다운받앗지","막상 다운받았지"
"수있어서좋앟어","수 있어서 좋았어"
"축하합니다아.즈 아","축하합니다. 아주"
"만드슈","만드나"
"상관없응께","상관없다"
"모든편응","모든 편을"
"애니퀄","애니 퀄"
"조으다","좋다" 
"픈으로","핸드폰으로"
"멤버십재 입","멤버십 재가입"
"안냇으니","안 냈으니"
"돈돌려쥬세요","돈 돌려 주세요"
"아쥬","아주 "
"어떨","어떻"
"재밋게","재미있게"
"웨이럭개","왜 이렇게"
"넷프릭스","넷플릭스"
"너무제밌습니다 줄만하고요","너무 재미있습니다."
"어벤져스 인피니티워 가어떤게 아쉬워습니다","어벤져스 인피티니 워가 어떤 것은 아쉬었습니다"
"컨탠츠","컨텐츠"
"컨던츠","컨텐츠"
"콘센츠","컨텐츠"
"컨던츠","컨텐츠"
"컨덴츠","컨텐츠"
"컨테츠","컨텐츠"
"콘텐즈","컨텐츠"
"테블릿","태블릿"
"팅겨","튕겨"
"팅기","튕기"
"팬트","펜트"
"할려","하려"
